name_TGSS,ra_TGSS,dec_TGSS,integrated_TGSS,peak_TGSS,major_ax_TGSS,minor_ax_TGSS,posangle_TGSS,score,best_match
TGSSADR J104544.6-153550,161.43593,-15.59749,0.1713,0.1255,34.7,30.1,2.2,0.5519268869482719,NVSS J104543-153603
TGSSADR J110513.2-185926,166.3054,-18.99064,0.7035,0.2372,61.9,40.7,-30.8,0.551951383849878,NVSS J110513-185942
TGSSADR J105242.2-281229,163.17606,-28.20832,0.0757,0.0776,37.1,24.4,-2.2,0.553656859617806,NVSS J105243-281219
TGSSADR J103055.7-242314,157.73232,-24.38739,0.2234,0.16180000000000005,47.0,27.2,19.0,0.5537206893041381,NVSS J103056-242303
TGSSADR J102207.6-310956,155.53201,-31.16581,0.13030000000000005,0.1018,47.9,25.7,3.9,0.5544566284479979,NVSS J102207-311013
TGSSADR J101757.3-263440,154.48882,-26.57787,0.2706,0.2464,37.2,26.6,4.3,0.5583531299170632,NVSS J101756-263457
TGSSADR J104044.4-245040,160.1852,-24.84456,0.2785,0.2019,36.5,32.3,-20.4,0.5599946559182509,NVSS J104043-245041
TGSSADR J105516.6-272952,163.81918000000005,-27.49801,5.4927,3.3341,73.1,35.1,-58.1,0.560185602689329,NVSS J105515-272943
TGSSADR J101005.8-170237,152.52426,-17.043789999999998,0.12969999999999998,0.0922,39.4,27.3,31.5,0.5602229626179456,NVSS J101004-170248
TGSSADR J103655.6-311507,159.2319,-31.25218,0.9961,0.4025,77.8,41.7,73.8,0.563629968465331,NVSS J103656-311502
TGSSADR J101741.8-270149,154.42436,-27.0304,0.1363,0.1021,42.5,28.3,-1.1,0.5658292291159289,NVSS J101742-270200
TGSSADR J100604.2-335304,151.51765,-33.8845,0.0463,0.0253,58.8,32.1,-3.2,0.5681522904503107,NVSS J100605-335317
TGSSADR J105651.9-320254,164.21643,-32.04853,0.0633,0.0414,47.4,32.0,-1.2,0.5695397966554757,NVSS J105650-320259
TGSSADR J104608.6-292049,161.53622,-29.34718,1.7568,0.3441,127.7,70.7,27.1,0.5716795105309452,NVSS J104609-292055
TGSSADR J111258.6-181315,168.24448,-18.221,0.0936,0.045,44.4,37.3,-86.9,0.5719155015938395,NVSS J111257-181315
TGSSADR J101239.1-170943,153.16313,-17.16204,0.1179,0.0909,35.9,27.6,-1.4,0.5736900888737015,NVSS J101239-171000
TGSSADR J101239.0-283605,153.16267,-28.60158,0.2955,0.2767,37.8,26.2,0.7,0.576049922931055,NVSS J101240-283607
TGSSADR J101635.3-182706,154.14726000000005,-18.45172,0.0426,0.0408,31.5,25.9,5.4,0.5788238633198566,NVSS J101636-182656
TGSSADR J101145.2-174050,152.93843,-17.68065,0.0708,0.0534,37.2,28.4,24.7,0.5793211442066093,NVSS J101146-174100
TGSSADR J110342.9-200254,165.92911999999995,-20.04853,0.08650000000000001,0.07490000000000001,32.3,29.1,14.7,0.5833123078713995,NVSS J110343-200246
TGSSADR J100410.6-200406,151.0443,-20.06846,0.1658,0.1272,35.0,30.3,23.5,0.5850637057290582,NVSS J100410-200350
TGSSADR J100656.2-155656,151.73434,-15.94912,0.0192,0.0197,29.8,25.1,16.2,0.5914062477330927,NVSS J100655-155654
TGSSADR J102649.2-252425,156.70526,-25.40706,0.8106,0.2714,83.3,40.1,-6.1,0.5915431307153834,NVSS J102649-252409
TGSSADR J103203.4-203118,158.01453,-20.52182,0.1236,0.0776,40.0,31.7,4.2,0.5920835050508917,NVSS J103202-203110
TGSSADR J095824.0-343730,149.60027,-34.62519,0.1062,0.1001,41.8,26.2,2.8,0.592307000337593,NVSS J095824-343717
TGSSADR J100225.5-291204,150.60648999999995,-29.20128,0.0914,0.0609,45.4,31.7,5.4,0.5929700696479456,NVSS J100224-291219
TGSSADR J101222.7-261549,153.09496,-26.26374,0.4722,0.2087,52.7,33.6,-45.2,0.5930352751876943,NVSS J101223-261600
TGSSADR J102420.4-244550,156.08525,-24.76394,0.3192,0.2831,35.5,27.1,2.4,0.5932907606879002,NVSS J102419-244553
TGSSADR J100740.6-283123,151.9193,-28.52325,0.1301,0.1015,43.7,27.3,-7.7,0.5944573697639436,NVSS J100741-283135
TGSSADR J104015.1-261652,160.06323,-26.28128,0.3064,0.1688,42.8,38.2,61.0,0.5947142209201723,NVSS J104016-261648
TGSSADR J110508.0-161157,166.28368,-16.19918,0.0369,0.032200000000000006,31.8,27.6,22.9,0.5976466576538628,NVSS J110507-161203
TGSSADR J110626.3-235917,166.60998999999995,-23.98807,0.0795,0.0476,41.9,34.0,12.4,0.6001220379241546,NVSS J110626-235933
TGSSADR J102632.8-221042,156.6368,-22.1785,0.0945,0.0805,35.9,27.2,8.7,0.6011927962943455,NVSS J102632-221057
TGSSADR J104209.6-180652,160.54019,-18.11457,0.0631,0.0369,45.1,29.5,36.8,0.6027062829052745,NVSS J104210-180642
TGSSADR J100901.0-215145,152.25439,-21.86278,0.1802,0.0781,53.8,35.6,47.7,0.6031206622159825,NVSS J100859-215146
TGSSADR J102418.2-244559,156.07584,-24.7664,0.2883,0.2412,35.4,28.8,10.4,0.6034062652763054,NVSS J102419-244553
TGSSADR J105403.3-322038,163.51381999999995,-32.3439,0.032299999999999995,0.0284,42.0,27.0,-1.2,0.6044289314747238,NVSS J105402-322043
TGSSADR J102439.3-170010,156.16393,-17.00283,0.0352,0.0293,34.4,27.3,6.7,0.6084686480299208,NVSS J102439-165957
TGSSADR J100221.9-273030,150.59158,-27.50841,0.6032000000000001,0.4744,38.9,29.5,-5.1,0.6090271878883101,NVSS J100223-273031
TGSSADR J101241.5-283607,153.17293999999995,-28.60199,0.3655,0.2928,39.2,29.6,2.0,0.6096434602122234,NVSS J101240-283607
TGSSADR J102539.0-240517,156.4129,-24.08824,0.1914,0.0511,57.0,24.1,12.2,0.6121243909761855,NVSS J102539-240502
TGSSADR J103022.3-173700,157.59293,-17.6168,0.1257,0.0999,34.4,28.0,10.6,0.6125192264566335,NVSS J103022-173646
TGSSADR J103723.4-344110,159.34771999999995,-34.68635,0.039700000000000006,0.0287,47.9,29.9,-2.3,0.612603509385292,NVSS J103724-344108
TGSSADR J103010.8-250846,157.54536000000004,-25.14623,0.0305,0.027000000000000003,36.4,27.2,4.7,0.613277294948473,NVSS J103011-250831
TGSSADR J105927.7-301058,164.86549,-30.182920000000006,0.13190000000000002,0.1003,42.9,29.4,15.2,0.6145938938652507,NVSS J105926-301108
TGSSADR J110625.0-205145,166.60425,-20.86253,0.12830000000000005,0.0589,54.6,32.4,40.1,0.614955034902134,NVSS J110624-205156
TGSSADR J103120.5-152146,157.83571,-15.363,0.0782,0.0783,29.9,25.5,15.6,0.6161838661324708,NVSS J103121-152140
TGSSADR J101644.1-181651,154.18375,-18.28097,0.1091,0.06540000000000001,41.4,24.2,48.3,0.6180678825519081,NVSS J101644-181642
TGSSADR J103456.8-181202,158.73676,-18.20072,0.30760000000000004,0.2685,33.6,26.6,14.1,0.6182561127275404,NVSS J103456-181214
TGSSADR J110247.6-254621,165.69846,-25.77257,0.3307,0.0498,107.0,56.0,-72.4,0.6185593939910388,NVSS J110248-254632
TGSSADR J102526.9-252648,156.36246,-25.44671,0.0933,0.0346,61.1,38.7,-19.7,0.6206072744075362,NVSS J102527-252701
TGSSADR J110558.3-150537,166.49294,-15.09378,0.25980000000000003,0.039200000000000006,81.5,62.2,-28.1,0.620705510047566,NVSS J110558-150549
TGSSADR J111117.0-282250,167.82095,-28.38075,0.0256,0.0234,39.2,25.9,-6.4,0.6221076549193274,NVSS J111116-282237
TGSSADR J102513.1-164110,156.30481,-16.686239999999998,0.0748,0.0558,36.8,27.9,51.5,0.6230132083061942,NVSS J102513-164101
TGSSADR J103559.2-290639,158.99667,-29.11107,0.0561,0.0447,40.7,28.7,7.5,0.62346097798928,NVSS J103559-290626
TGSSADR J100619.4-334124,151.58098,-33.690220000000004,0.08220000000000001,0.0549,48.5,31.9,8.0,0.6240178672586112,NVSS J100618-334126
TGSSADR J101428.3-205511,153.61827,-20.91975,0.1015,0.0554,42.3,35.3,24.7,0.6240703277889158,NVSS J101428-205524
TGSSADR J104625.7-282432,161.60718,-28.40907,0.1426,0.0919,45.6,31.6,-6.1,0.6245190032634431,NVSS J104626-282445
TGSSADR J105747.7-240729,164.44902,-24.12478,0.2448,0.2285,35.6,25.7,4.5,0.6256273179614202,NVSS J105748-240737
TGSSADR J110317.6-333511,165.82338,-33.586490000000005,0.0877,0.0474,53.0,36.0,-13.5,0.6294735270669196,NVSS J110318-333522
TGSSADR J102705.4-252046,156.77286999999995,-25.34616,0.2522,0.23,36.4,26.4,3.9,0.6295534235562669,NVSS J102705-252031
TGSSADR J102421.0-194849,156.08765,-19.8138,0.132,0.0858,36.8,34.0,11.1,0.6295825702726097,NVSS J102420-194838
TGSSADR J101457.4-172011,153.73926,-17.3365,0.6885,0.2442,70.0,29.5,54.7,0.6302777818869512,NVSS J101458-172002
TGSSADR J103828.4-154330,159.6187,-15.725129999999998,0.0616,0.043,35.3,30.5,23.4,0.6308585184114927,NVSS J103827-154329
TGSSADR J104357.1-270848,160.98814,-27.14694,0.0912,0.066,40.4,30.8,31.1,0.6331241941785641,NVSS J104356-270902
TGSSADR J110702.1-323137,166.75882,-32.5271,0.3891000000000001,0.3451,41.7,26.9,-0.1,0.6346209258499085,NVSS J110701-323125
TGSSADR J100109.6-264445,150.29001,-26.7461,0.359,0.335,37.4,25.8,-1.9,0.63474126245626,NVSS J100109-264431
TGSSADR J100954.4-163453,152.4769,-16.58144,0.0272,0.0215,33.9,28.5,-1.5,0.6374202129675488,NVSS J100953-163445
TGSSADR J103557.7-153321,158.99081,-15.556,0.0659,0.0469,36.6,28.9,19.7,0.6384870414715131,NVSS J103556-153330
TGSSADR J095631.4-343434,149.13091,-34.57638,0.0922,0.0454,69.8,30.0,-12.5,0.6394311047129998,NVSS J095631-343449
TGSSADR J100844.0-291234,152.1834,-29.20969,0.22680000000000006,0.1183,49.7,35.8,-15.0,0.6402603293019226,NVSS J100844-291241
TGSSADR J105933.7-152500,164.89046000000005,-15.41682,0.049100000000000005,0.0468,31.1,25.4,9.1,0.6415657209937523,NVSS J105933-152513
